suburb,demand_ratio
Carnegie,0.3704433497536946
Caroline Springs,0.7507389162561576
Carrum,1.3349753694581281
Carrum Downs,0.7783251231527094
Caulfield,0.7704433497536946
Caulfield East,1.0275862068965518
Caulfield North,0.6019704433497537
Caulfield South,1.1349753694581282
Chadstone,0.8305418719211822
Chelsea,1.516256157635468
Chelsea Heights,1.1133004926108374
Cheltenham,0.7605911330049261
Chirnside Park,1.438423645320197
Clarinda,1.2729064039408866
Clayton,0.37142857142857144
Clayton South,0.5024630541871922
Clifton Hill,1.9724137931034482
Clyde North,0.10837438423645321
Coburg,1.0798029556650246
Coburg North,1.5467980295566504
Coldstream,3.303448275862069
Collingwood,0.45615763546798027
Coolaroo,0.6817733990147783
Craigieburn,0.2995073891625616
Cranbourne,0.3448275862068966
Cranbourne East,0.1724137931034483
Cranbourne North,0.6699507389162561
Cranbourne West,0.296551724137931
Cremorne,0.20492610837438424
Croydon,1.0886699507389161
croydon,1.0886699507389161
Croydon Hills,2.496551724137931
Croydon North,1.6364532019704434
Croydon South,1.824630541871921
Dallas,0.7192118226600985
Dandenong,0.31527093596059114
Dandenong North,0.7064039408866996
Darley,1.1467980295566502
Deepdene,1.8374384236453203
Deer Park,0.6108374384236454
Delahey,1.259113300492611
Derrimut,0.9773399014778326
Diamond Creek,2.3842364532019706
Diggers Rest,0.37635467980295567
Dingley Village,1.703448275862069
Docklands,0.18620689655172415
Doncaster,0.17339901477832512
Doncaster East,0.2916256157635468
Donvale,1.01871921182266
Doreen,0.5783251231527093
Doveton,0.5172413793103449
Eaglemont,1.7133004926108375
East Melbourne,1.1625615763546797
Edithvale,1.0827586206896551
Elsternwick,1.3113300492610838
Eltham,2.649261083743842
Eltham North,2.8807881773399013
Elwood,1.1014778325123153
Emerald,1.794088669950739
Endeavour Hills,0.6640394088669951
Epping,0.4463054187192118
Essendon,0.7192118226600985
Essendon North,0.7192118226600985
Essendon West,1.826600985221675
Eumemmerring,0.37635467980295567
Eynesbury,0.45911330049261084
Fairfield,0.8137931034482758
Fawkner,0.9054187192118227
Ferntree Gully,1.1773399014778325
Ferny Creek,2.6788177339901478
Fitzroy,0.9625615763546798
Fitzroy North,1.5566502463054188
Flemington,1.438423645320197
Footscray,0.44729064039408867
Forest Hill,0.9576354679802955
Frankston,0.8492610837438423
Frankston North,0.9054187192118227
Frankston South,1.476847290640394
Gardenvale,1.6650246305418719
Gisborne,1.18128078817734
Gisborne South,3.175369458128079
Gladstone Park,1.987192118226601
Glen Huntly,0.8679802955665025
Glen Iris,0.4768472906403941
Glen Waverley,0.4975369458128079
Glenroy,0.8078817733990148
Gowanbrae,1.6650246305418719
Greensborough,1.7576354679802955
Greenvale,0.40788177339901477
Hadfield,0.6068965517241379
Hallam,0.8630541871921182
Hampton,0.8876847290640394
Hampton East,1.9527093596059113
Hampton Park,0.5369458128078818
Hawthorn,0.46798029556650245
Hawthorn East,0.4896551724137931
Healesville,1.1763546798029556
Heatherton,1.1044334975369459
Heathmont,1.1004926108374384
Heidelberg,0.4236453201970443
Heidelberg Heights,0.961576354679803
Heidelberg West,0.9901477832512315
Highett,0.7724137931034483
Hillside,0.8068965517241379
Hoppers Crossing,0.7064039408866996
Hughesdale,0.8541871921182266
Huntingdale,1.2798029556650246
Hurstbridge,2.0167487684729064
Ivanhoe,0.6344827586206897
Ivanhoe East,0.9753694581280788
Jacana,0.8975369458128079
Kalkallo,0.09753694581280788
Kealba,1.4147783251231527
Keilor,1.8857142857142857
Keilor Downs,1.4729064039408868
Keilor East,1.5172413793103448
Keilor Lodge,2.955665024630542
Keilor Park,1.3891625615763548
Kensington,1.419704433497537
Kew,0.547783251231527
Kew East,0.6334975369458128
Keysborough,0.43645320197044335
Kilsyth,1.3467980295566502
Kings Park,0.6
Kingsbury,1.1270935960591133
Kingsville,1.129064039408867
Knoxfield,1.0413793103448277
Kooyong,1.4275862068965517
Kurunjang,0.4541871921182266
Lalor,0.7753694581280788
Langwarrin,1.3211822660098522
Laverton,0.30147783251231525
Lilydale,1.4600985221674876
Lower Plenty,2.3014778325123153
Lynbrook,0.7064039408866996
Lysterfield,1.4433497536945812
MacLeod,1.4344827586206896
Maidstone,0.8078817733990148
Malvern,0.45123152709359604
Malvern East,0.4916256157635468
Maribyrnong,0.554679802955665
McKinnon,0.4147783251231527
Meadow Heights,0.7261083743842365
